Datum,Differenz in kWh,Kapazität in kWh,Laden/Einspeisen in kWh
2030-11-21 18:45:00,16393.426719408948,0.0,0.0
2030-11-21 19:00:00,16087.680425656257,0.0,0.0
2030-11-21 19:15:00,15768.149163400249,0.0,0.0
2030-11-21 19:30:00,15553.511168283967,0.0,0.0
2030-11-21 19:45:00,15282.426695665967,0.0,0.0
2030-11-21 20:00:00,14968.642139466489,0.0,0.0
2030-11-21 20:15:00,14674.093959796297,0.0,0.0
2030-11-21 20:30:00,14501.406873573553,0.0,0.0
2030-11-21 20:45:00,14291.873489969272,0.0,0.0
2030-11-21 21:00:00,14002.849296587712,0.0,0.0
2030-11-21 21:15:00,13790.901579030115,0.0,0.0
2030-11-21 21:30:00,13606.383517306906,0.0,0.0
2030-11-21 21:45:00,13163.317892426425,0.0,0.0
2030-11-21 22:00:00,12921.776056459836,0.0,0.0
2030-11-21 22:15:00,12726.76259897697,0.0,0.0
2030-11-21 22:30:00,12479.553904190114,0.0,0.0
2030-11-21 22:45:00,12300.715351280684,0.0,0.0
2030-11-21 23:00:00,11990.746130587624,0.0,0.0
2030-11-21 23:15:00,11583.922033245897,0.0,0.0
2030-11-21 23:30:00,11212.776340859895,0.0,0.0
2030-11-21 23:45:00,11089.51683501853,0.0,0.0
2030-11-22 00:00:00,10965.451708837209,0.0,0.0
2030-11-22 00:15:00,10806.915395990178,0.0,0.0
2030-11-22 00:30:00,10766.455610836547,0.0,0.0
2030-11-22 00:45:00,10753.606294694157,0.0,0.0
2030-11-22 01:00:00,10727.974769792247,0.0,0.0
2030-11-22 01:15:00,10755.954117919679,0.0,0.0
2030-11-22 01:30:00,10736.880415462827,0.0,0.0
2030-11-22 01:45:00,10710.956249647246,0.0,0.0
2030-11-22 02:00:00,10578.994245692968,0.0,0.0
2030-11-22 02:15:00,10662.354167728228,0.0,0.0
2030-11-22 02:30:00,10869.545440266436,0.0,0.0
2030-11-22 02:45:00,10992.70487145165,0.0,0.0
2030-11-22 03:00:00,11111.274934844216,0.0,0.0
2030-11-22 03:15:00,11155.335542205623,0.0,0.0
2030-11-22 03:30:00,11368.703261432547,0.0,0.0
2030-11-22 03:45:00,11574.627150538941,0.0,0.0
2030-11-22 04:00:00,11835.899908228024,0.0,0.0
