,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh
9935,2030-04-14 12:45:00,29358.372150861567,6625.9638249364,22732.408325925167
9936,2030-04-14 13:00:00,29361.102559563566,6827.351445992881,22533.751113570685
9937,2030-04-14 13:15:00,29246.684651878924,0.0,29246.684651878924
9938,2030-04-14 13:30:00,29077.459551841057,0.0,29077.459551841057
9939,2030-04-14 13:45:00,28779.136255653742,0.0,28779.136255653742
9940,2030-04-14 14:00:00,28784.366743118262,0.0,28784.366743118262
9941,2030-04-14 14:15:00,28607.355417200873,0.0,28607.355417200873
9942,2030-04-14 14:30:00,27892.541655161054,0.0,27892.541655161054
9943,2030-04-14 14:45:00,27404.59775092707,0.0,27404.59775092707
9944,2030-04-14 15:00:00,26687.084151367755,0.0,26687.084151367755
9945,2030-04-14 15:15:00,26104.148762702458,0.0,26104.148762702458
9946,2030-04-14 15:30:00,25323.95309946323,0.0,25323.95309946323
9947,2030-04-14 15:45:00,24383.264879187755,-477.4867246903341,24860.75160387809
9948,2030-04-14 16:00:00,23455.60204435261,-1753.4564692532804,25209.05851360589
9949,2030-04-14 16:15:00,22223.60022633776,-2940.0151526195586,25163.615378957318
9950,2030-04-14 16:30:00,21137.029337124193,-4732.731595917327,25869.76093304152
9951,2030-04-14 16:45:00,19600.49127574379,-6486.725409911014,26087.216685654803
9952,2030-04-14 17:00:00,18377.446946470754,-8111.406835260941,26488.853781731697
9953,2030-04-14 17:15:00,17083.55700132774,-9622.61654543713,26706.17354676487
9954,2030-04-14 17:30:00,15420.748395559744,-11090.238875996702,26510.987271556445
9955,2030-04-14 17:45:00,13809.986299868106,-12367.148500527865,26177.134800395972
9956,2030-04-14 18:00:00,12133.119674826738,-13354.468782068827,25487.588456895566
9957,2030-04-14 18:15:00,10625.240934843616,-12063.705108317023,22688.94604316064
9958,2030-04-14 18:30:00,9266.060189458467,0.0,9266.060189458467
9959,2030-04-14 18:45:00,8024.6809136533975,0.0,8024.6809136533975
9960,2030-04-14 19:00:00,7068.819795046991,0.0,7068.819795046991
9961,2030-04-14 19:15:00,6273.937791853991,0.0,6273.937791853991
9962,2030-04-14 19:30:00,5575.033175326098,0.0,5575.033175326098
9963,2030-04-14 19:45:00,5218.988951910986,0.0,5218.988951910986
9964,2030-04-14 20:00:00,5073.978857131867,0.0,5073.978857131867
9965,2030-04-14 20:15:00,5089.255380206086,0.0,5089.255380206086
9966,2030-04-14 20:30:00,5009.610984312854,0.0,5009.610984312854
9967,2030-04-14 20:45:00,4973.680764573759,0.0,4973.680764573759
9968,2030-04-14 21:00:00,4989.561850111603,0.0,4989.561850111603
9969,2030-04-14 21:15:00,5048.64749508618,0.0,5048.64749508618
9970,2030-04-14 21:30:00,5122.434438362276,0.0,5122.434438362276
9971,2030-04-14 21:45:00,5196.496310960678,0.0,5196.496310960678
9972,2030-04-14 22:00:00,5304.01652275667,0.0,5304.01652275667
9973,2030-04-14 22:15:00,5528.160537474388,0.0,5528.160537474388
9974,2030-04-14 22:30:00,5473.918563218163,0.0,5473.918563218163
9975,2030-04-14 22:45:00,5404.898188890085,0.0,5404.898188890085
9976,2030-04-14 23:00:00,5644.716557063387,0.0,5644.716557063387
9977,2030-04-14 23:15:00,5724.051647150445,0.0,5724.051647150445
9978,2030-04-14 23:30:00,5873.380166719651,0.0,5873.380166719651
9979,2030-04-14 23:45:00,6344.549590793087,0.0,6344.549590793087
9980,2030-04-15 00:00:00,6638.143526609187,0.0,6638.143526609187
9981,2030-04-15 00:15:00,6854.991111759773,0.0,6854.991111759773
9982,2030-04-15 00:30:00,7050.937718154182,0.0,7050.937718154182
9983,2030-04-15 00:45:00,7144.872017636348,0.0,7144.872017636348
9984,2030-04-15 01:00:00,7161.51368395998,0.0,7161.51368395998
9985,2030-04-15 01:15:00,7329.070335013774,0.0,7329.070335013774
9986,2030-04-15 01:30:00,7473.105310285264,0.0,7473.105310285264
9987,2030-04-15 01:45:00,7517.167593320366,0.0,7517.167593320366
9988,2030-04-15 02:00:00,7790.309920569431,0.0,7790.309920569431
9989,2030-04-15 02:15:00,7949.539954121528,0.0,7949.539954121528
9990,2030-04-15 02:30:00,8014.849432715906,0.0,8014.849432715906
