,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
18252,2030-07-10 04:00:00,2323.830445605865,0.0,-11750.0,14073.830445605865
18253,2030-07-10 04:15:00,2277.3504409759926,0.0,-11747.691237924531,14025.041678900525
18254,2030-07-10 04:30:00,2266.532119886689,0.0,-11424.613628129644,13691.145748016334
18255,2030-07-10 04:45:00,2351.7735171948057,0.0,-11526.753546713593,13878.5270639084
18256,2030-07-10 05:00:00,2344.092573054273,0.0,-11750.0,14094.092573054273
18257,2030-07-10 05:15:00,2601.018030427527,0.0,-11750.0,14351.018030427527
18258,2030-07-10 05:30:00,3050.302399759877,0.0,-11750.0,14800.302399759878
18259,2030-07-10 05:45:00,3121.372931215621,0.0,-11750.0,14871.372931215621
18260,2030-07-10 06:00:00,3321.3492166436768,0.0,-11750.0,15071.349216643677
18261,2030-07-10 06:15:00,3477.6006056887263,0.0,-11750.0,15227.600605688727
18262,2030-07-10 06:30:00,3725.685342593172,0.0,-11750.0,15475.685342593173
18263,2030-07-10 06:45:00,4184.28983253914,0.0,-11750.0,15934.28983253914
18264,2030-07-10 07:00:00,4698.3367321385085,0.0,-11750.0,16448.33673213851
18265,2030-07-10 07:15:00,5325.331631896735,0.0,-11750.0,17075.331631896734
18266,2030-07-10 07:30:00,5874.542337388195,0.0,-11750.0,17624.542337388193
18267,2030-07-10 07:45:00,6591.832891038215,0.0,-11401.936962890291,17993.769853928505
18268,2030-07-10 08:00:00,7365.7498270050055,0.0,-10890.738653262692,18256.488480267697
18269,2030-07-10 08:15:00,8195.426554518606,0.0,-10429.818613921054,18625.24516843966
18270,2030-07-10 08:30:00,8897.008974582708,0.0,-9905.103544706146,18802.112519288854
18271,2030-07-10 08:45:00,9773.410662261105,0.0,-9513.9789467583,19287.389609019403
18272,2030-07-10 09:00:00,10737.62091814636,0.0,-8693.933548591163,19431.55446673752
18273,2030-07-10 09:15:00,11519.4244194205,0.0,-8220.168443795163,19739.592863215665
18274,2030-07-10 09:30:00,12291.371498521114,0.0,-7676.9127615705165,19968.28426009163
18275,2030-07-10 09:45:00,12848.67449832329,0.0,-6678.648429422745,19527.322927746034
18276,2030-07-10 10:00:00,13595.808660042088,0.0,-5757.413376770139,19353.22203681223
18277,2030-07-10 10:15:00,14347.894829859128,0.0,-5138.938921568017,19486.833751427144
18278,2030-07-10 10:30:00,15159.848774324832,0.0,-4514.337165681543,19674.185940006377
18279,2030-07-10 10:45:00,16186.981514812553,0.0,-3855.563751874146,20042.5452666867
18280,2030-07-10 11:00:00,17052.330289781414,0.0,-3064.040875747818,20116.37116552923
18281,2030-07-10 11:15:00,17747.787167223403,0.0,-2689.602776507847,20437.38994373125
